Calculated optimized lattice constant using scipy fmin approach:

Structure              a              c                  a/c
   Sc2Hg2   5.01848860522   3.55101028272  0.707585602372
   La2Pb2   5.48474379667   4.51080476644   0.82242761625
   La2Ag2   5.48479436934   3.85899287946  0.703580229194
   Cu2Tl2   5.01136746271   3.36077576648  0.670630479902
    Rh2W2   3.90353975662   3.94377762516    1.0103080463
   Zn2Ru2    4.2811004181   3.04582248634  0.711457847021
   In2Tl2    4.9479714652    5.0847295813   1.02763922894
   Ir2Pb2    4.5964995629   3.78566224445  0.823596781126
   Ru2Hg2   4.22980773684   3.93472438889  0.930237172394
   Ta2Au2   4.12260119529   4.18645370063   1.01548840218
   Al2Pt2   4.42595602649   3.02922755938  0.684423329389
    Al2Y2   5.08951956135   3.58285154634  0.703966553847
    Mo2W2   3.77062984196   4.60481937934   1.22123347354
   Tc2Hf2   4.60629148137   3.29086022442  0.714427264911
   Cr2Mn2   3.98896256504   2.82014087166   0.70698604604
   Ti2Mn2   4.21328086001   2.98275294514  0.707940686663
    Co2Y2   4.75919432068    3.3620681978  0.706436419961
   Cu2Pb2    5.0694403138   3.42800078314  0.676208924644
   Mn2La2   5.48496177747   3.62746840369  0.661347982148
   Cr2La2   5.03324423291   3.55776855941  0.706853948423
     V2Y2   4.54576294061   4.21432595458  0.927088809874
   Fe2Ga2   3.74601294609   3.75841798879   1.00331153226
   Ti2Tc2   4.39435540719   3.10728456015  0.707108158586
   Sn2Ir2   4.40899899644    3.7022115907  0.839694360033
   Ti2Ru2   4.36300684807   3.08730297025  0.707609013178
   Al2Ta2   4.00574576413   4.17313533483   1.04178736759
    V2Tl2   4.21188282823   4.24606759946   1.00811626834
   Zn2Os2   3.75872434947   4.11356070204   1.09440339849
   Fe2Hf2   4.43764766725   3.14356468913     0.708385371
   Sc2Tc2    4.6202842924   3.15368518095  0.682573837748
   Mo2Ir2   3.91597568401   3.92400797737   1.00205116017
   Cu2In2   4.46445801104   3.70226583108  0.829275540709
   Zr2Cd2   4.44335813338   4.44982603829   1.00145563439
   Mo2Rh2    3.8908866795   3.93027979388   1.01012445687
    V2Sn2   4.39357767189   3.72589720057  0.848032623711
   Tc2Ag2   3.73869724859   4.62377474292    1.2367341979
   Mn2Cu2   4.23113101764   3.05598122702  0.722261072578
   Al2Pd2   4.37030329626   3.08665762457  0.706279957094
   Ni2Os2   3.70220952735   3.71692489896   1.00397475386
   Re2Os2   3.88513923884   3.88007089549  0.998695453872
   Ru2Pb2   4.74994263012   3.35835569133  0.707030790232
   La2Ir2   5.12703676856   3.60761693917  0.703645614811
